MEAN;MAX;MIN;RANGE;KURT;SKEW;ALSC;INSC;RMSC;condition
1,13582E+16;1,21742E+16;1,04164E+16;17578125;-7,23899E+15;-6,49669E+14;2,10002E+16;2,38522E+16;1,13666E+16;stress
1,96028E+16;2,25792E+15;1,58119E+16;6,76727E+14;-8,34275E+15;-7,08069E+15;2,10028E+15;4,11659E+15;1,96344E+16;stress
2,00312E+16;2,25792E+15;1,63078E+16;6,27136E+13;1,80701E+15;-8,39507E+15;2,10029E+16;4,20655E+16;2,00419E+15;stress
1,1183E+16;1,19156E+15;9,82018E+15;2,09541E+16;-1,10144E+15;-6,23904E+15;2,10002E+13;2,34844E+16;1,11938E+16;stress
2,34463E+16;2,50435E+16;2,02675E+16;4,776E+13;7,11182E+15;3,90846E+15;2,10026E+15;4,92372E+15;2,34473E+16;baseline
2,14994E+15;2,31857E+15;1,85471E+15;4638671875;-5,43182E+15;1,02417E+15;2,10019E+16;4,51487E+16;2,15021E+15;baseline
3,84302E+15;3,97301E+16;3,56941E+16;4,03595E+14;-4,24515E+15;-6,90153E+15;2,10015E+16;8,07034E+15;3,84323E+15;baseline
1,39232E+16;1,55525E+16;1,06621E+16;4,89044E+14;1,98506E+16;9,42507E+14;2,10059E+16;2,92388E+16;1,3925E+16;amusement
1,70377E+16;1,93901E+16;1,26801E+14;6,71005E+15;-8,43342E+14;5,226E+15;2,10024E+15;3,57792E+15;1,70535E+16;stress
1,80455E+15;2,03781E+15;1,26801E+14;7,69806E+14;-1,12838E+16;-5,98231E+15;2,10021E+15;3,78956E+15;1,80795E+16;stress
2,7995E+15;2,95982E+15;2,5898E+16;3,70026E+14;8,50195E+15;8,64255E+15;2,10019E+16;5,87894E+15;2,79953E+16;baseline
2,80278E+16;2,9892E+14;2,46696E+16;5,22232E+15;1,20985E+15;1,13565E+16;2,10014E+15;5,88583E+15;2,80281E+15;baseline
3,23157E+16;3,76053E+15;2,88391E+13;8,76617E+14;-1,36303E+16;6,26364E+15;2,10013E+16;6,78631E+15;3,24073E+15;amusement
3,86202E+16;4,04243E+16;3,57513E+14;4,673E+15;-4,55849E+15;5,1278E+15;2,10013E+16;8,11023E+15;3,86226E+16;baseline
6,77104E+16;7,12929E+16;6,31371E+16;8,15582E+14;-1,14331E+16;4,00798E+16;2,10007E+16;1,42192E+16;6,77253E+15;baseline
3,69699E+15;3,80974E+15;3,54271E+15;2,67029E+13;9,01313E+15;-1,34581E+15;2,10008E+15;7,76367E+15;3,69703E+15;amusement
7,10514E+15;7,51228E+15;6,62155E+15;8,90732E+15;-1,44008E+16;-4,9242E+15;2,10006E+16;1,49208E+16;7,10696E+15;stress
3,86075E+15;4,04243E+16;3,57513E+14;4,673E+15;-5,24918E+15;5,16318E+15;2,10013E+14;8,10758E+14;3,86101E+16;baseline
6,20532E+15;6,39458E+15;5,78995E+15;6,0463E+15;-1,22569E+15;-5,73274E+15;2,10012E+15;1,30312E+16;6,20557E+15;baseline
4,31845E+15;5,31158E+14;3,31535E+16;1,99623E+16;-1,61152E+16;6,76845E+15;2,10014E+15;9,06874E+13;4,36192E+15;stress
6,92249E+15;7,65114E+16;6,46362E+12;1,18752E+16;-7,7238E+15;5,1568E+14;2,10004E+15;1,45372E+16;6,9287E+15;baseline
3,45244E+14;3,70941E+14;3,1002E+15;6,09207E+15;3,3105E+14;7,41656E+15;2,10011E+16;7,25011E+15;3,45261E+15;stress
6,98421E+15;7,3452E+16;6,62155E+15;7,23648E+15;-1,21572E+16;4,46739E+16;2,10006E+15;1,46668E+16;6,9857E+15;stress
6,10613E+16;6,27594E+14;5,78995E+15;4,85992E+14;8,10411E+15;-5,8716E+15;2,10013E+16;1,28229E+15;6,10619E+15;baseline
3,86983E+16;3,97301E+16;3,65295E+13;3,20053E+15;6,81423E+15;5,77291E+15;2,10014E+16;8,12665E+15;3,86987E+15;baseline
6,24421E+15;6,48994E+16;6,00929E+15;4,80652E+13;5,60133E+15;1,71897E+16;2,10004E+15;1,31128E+16;6,24429E+16;baseline
1,67948E+16;1,84593E+16;1,32027E+16;5,25665E+14;-4,27297E+15;6,68441E+15;2,1003E+16;3,5269E+15;1,6799E+16;baseline
5,10442E+15;6,63528E+15;3,43666E+16;3,19862E+16;-1,00296E+16;-4,80694E+15;2,10012E+14;1,07193E+16;5,16713E+15;stress
2,18644E+15;2,42119E+16;1,85738E+16;5,63812E+14;-7,25772E+15;4,21412E+15;2,1002E+16;4,59152E+16;2,18686E+16;baseline
2,61578E+16;2,79579E+16;2,38152E+16;4,14276E+14;-1,07184E+16;-3,07982E+16;2,10013E+16;5,49314E+15;2,61635E+16;amusement
3,69765E+16;3,88947E+14;3,38783E+16;5,01633E+15;-1,0161E+15;3,33121E+16;2,10013E+16;7,76506E+15;3,69795E+16;stress
4,04397E+15;4,62837E+16;3,59268E+15;1,03569E+16;-4,54245E+15;7,48977E+15;2,10013E+15;8,49233E+15;4,05037E+15;stress
8,13061E+15;9,62067E+14;5,15747E+12;4,4632E+14;4,42625E+15;1,0934E+16;2,10034E+16;1,70743E+15;8,13192E+15;baseline
6,04177E+15;6,2149E+14;5,82352E+15;3,91388E+14;3,33987E+15;3,48081E+15;2,10013E+16;1,26877E+16;6,04181E+15;baseline
8,26926E+15;8,51173E+15;7,91473E+14;5,97E+15;-5,7113E+15;5,52828E+15;2,10002E+16;1,73654E+16;8,26948E+15;amusement
7,85993E+16;8,39882E+15;7,51839E+15;8,80432E+13;1,74526E+16;1,30103E+16;2,10004E+16;1,65059E+16;7,86166E+15;amusement
1,59677E+16;2,38876E+15;9,71603E+15;1,41716E+16;3,996E+15;9,77598E+15;2,10066E+15;3,35323E+15;1,61798E+16;stress
1,1184E+16;1,13373E+14;1,09997E+16;3,37601E+15;5,35456E+15;-3,30711E+15;2,10002E+16;2,34864E+15;1,1184E+15;baseline
5,50275E+13;5,62019E+16;5,24025E+15;3,79944E+13;-1,23556E+16;-1,09505E+16;2,10007E+16;1,15558E+15;5,50285E+15;baseline
6,20131E+15;6,39458E+15;5,78995E+15;6,0463E+15;-1,44968E+16;-4,07023E+16;2,10012E+15;1,30228E+16;6,20157E+13;baseline
1,22644E+16;1,52092E+16;9,20868E+14;6,00052E+15;-1,35199E+16;-3,50639E+16;2,10032E+16;2,57553E+16;1,23455E+15;baseline
9,70459E+15;1,11237E+14;7,88498E+15;3,23868E+15;3,84117E+16;1,01983E+16;2,10037E+15;2,03796E+16;9,70568E+14;baseline
1,20788E+16;1,4019E+16;8,71277E+13;5,30624E+15;1,62918E+16;-4,56912E+15;2,10058E+14;2,53654E+14;1,2091E+16;baseline
7,0878E+15;9,63974E+15;4,52805E+15;5,11169E+13;-7,12636E+14;9,31736E+15;2,10104E+16;1,48844E+16;7,13007E+15;amusement
3,74671E+16;4,48151E+14;3,40271E+13;1,0788E+14;1,15561E+16;3,36831E+16;2,10017E+15;7,8681E+15;3,74828E+16;baseline
6,56952E+15;7,02057E+14;6,1058E+15;9,14764E+14;-9,18095E+14;4,55061E+15;2,10004E+15;1,3796E+15;6,57158E+15;baseline
7,60305E+15;9,07402E+15;6,62117E+16;2,45285E+15;-8,41251E+15;6,21586E+15;2,10003E+16;1,59664E+16;7,62968E+14;baseline
9,68801E+15;1,11732E+16;6,77109E+15;4,40216E+14;3,84014E+15;1,59296E+16;2,10032E+16;2,03448E+16;9,69001E+13;baseline
1,34146E+16;1,57051E+16;1,0582E+15;5,12314E+15;-2,65072E+16;7,32206E+15;2,10045E+15;2,81707E+16;1,34201E+16;baseline
7,24877E+15;7,78046E+14;6,62155E+15;1,15891E+15;-4,10971E+15;3,82277E+15;2,10006E+15;1,52224E+16;7,25157E+16;stress
7,25823E+14;7,78046E+14;6,71768E+15;1,06277E+15;-4,84537E+15;3,87829E+15;2,10006E+15;1,52423E+16;7,26103E+15;stress
1,68114E+16;1,90392E+16;1,35307E+16;5,50842E+13;-1,22821E+16;-1,43661E+16;2,10013E+16;3,53039E+15;1,68218E+16;baseline
8,5098E+15;9,71527E+14;7,36389E+13;2,35138E+14;-1,37069E+16;9,77067E+14;2,10003E+14;1,78706E+16;8,53996E+15;stress
1,71365E+16;1,93939E+14;1,35994E+16;5,79453E+15;-3,22541E+15;7,38465E+14;2,10031E+16;3,59866E+15;1,71472E+15;baseline
6,83964E+15;9,67026E+15;4,45175E+15;5,21851E+12;-8,74516E+15;8,2355E+15;2,10051E+15;1,43633E+15;6,90469E+15;amusement
2,84995E+16;3,02315E+16;2,55699E+15;4,66156E+14;-6,00189E+15;8,62353E+15;2,10017E+16;5,9849E+15;2,85026E+16;baseline
1,35604E+16;1,57051E+16;1,03874E+16;5,31769E+14;-1,99838E+15;1,58865E+15;2,10047E+15;2,84769E+15;1,35648E+15;baseline
3,84582E+15;4,21867E+15;3,5141E+14;7,04575E+15;-7,31165E+15;6,58449E+15;2,1002E+16;8,07623E+15;3,84721E+15;baseline
4,59744E+15;5,32341E+15;4,00696E+13;1,31645E+16;-4,94122E+15;-3,52045E+15;2,10014E+15;9,65461E+15;4,60346E+15;stress
1,69729E+15;1,90392E+16;1,35307E+16;5,50842E+13;-1,0398E+16;-1,48586E+16;2,10013E+15;3,5643E+15;1,69833E+15;baseline
4,58302E+14;5,2578E+16;3,9856E+12;1,2722E+16;-5,93989E+15;-3,95441E+15;2,10014E+15;9,62434E+15;4,5891E+14;stress
8,02558E+15;9,47952E+15;5,15747E+12;4,32205E+15;3,28288E+16;8,43033E+15;2,10033E+16;1,68537E+16;8,02715E+15;baseline
9,74036E+15;1,11137E+16;9,03473E+14;2,07901E+15;4,15555E+15;6,57974E+15;2,10004E+16;2,04547E+15;9,74736E+15;stress
4,0402E+15;5,04036E+16;3,16772E+12;1,87263E+16;-1,41015E+16;5,34119E+15;2,10027E+15;8,48443E+14;4,06623E+15;stress
1,79363E+16;1,98822E+14;1,55602E+16;4,32205E+15;-1,19385E+16;-8,04856E+15;2,10015E+15;3,76663E+16;1,79452E+16;baseline
2,80406E+16;2,9892E+14;2,46696E+16;5,22232E+15;6,19047E+15;1,22592E+15;2,10015E+16;5,88852E+15;2,80411E+16;baseline
8,48821E+14;9,71527E+14;7,36313E+15;2,35214E+15;-1,39021E+16;1,25835E+15;2,10003E+14;1,78252E+15;8,51954E+15;stress
4,96374E+15;5,50041E+15;4,55475E+14;9,45663E+15;-9,37055E+13;2,28125E+15;2,10013E+15;1,04239E+16;4,96711E+15;stress
6,0891E+16;6,37703E+16;5,81245E+16;5,64575E+12;-1,47631E+16;2,27588E+15;2,10004E+15;1,27871E+16;6,0906E+15;amusement
3,80756E+16;3,93562E+15;3,57513E+14;3,60489E+15;1,79971E+16;1,06949E+16;2,10014E+15;7,99588E+15;3,80761E+15;baseline
6,80271E+16;7,16591E+16;6,31371E+16;8,52203E+14;-1,27166E+16;3,73963E+14;2,10007E+16;1,42857E+16;6,80432E+15;baseline
7,61761E+15;8,16689E+15;71044921875;1,06239E+16;-8,62147E+15;-3,51627E+16;2,10007E+16;1,5997E+16;7,62038E+15;stress
3,86393E+16;4,04243E+16;3,58543E+15;4,57001E+14;-3,70623E+15;4,54333E+15;2,10013E+15;8,11425E+15;3,86417E+16;baseline
6,13963E+15;6,37703E+16;5,81245E+16;5,64575E+12;-8,63925E+15;-4,17342E+15;2,10005E+16;1,28932E+16;6,14064E+15;amusement
7,97932E+15;9,33075E+14;5,15747E+12;4,17328E+14;3,52145E+16;8,69912E+15;2,10034E+15;1,67566E+16;7,98088E+15;baseline
8,7668E+15;1,02615E+15;6,15311E+15;4,10843E+15;1,70689E+16;3,76887E+15;2,10038E+14;1,84103E+15;8,7689E+15;baseline
8,77784E+15;1,02615E+15;6,15311E+15;4,10843E+15;1,77782E+16;4,7184E+15;2,10038E+16;1,84335E+16;8,77984E+15;baseline
5,31635E+15;6,63528E+15;4,15459E+15;2,4807E+15;-1,08018E+16;5,6199E+14;2,10013E+15;1,11643E+14;5,34277E+15;stress
2,34099E+15;2,49329E+13;2,19917E+16;2,94113E+15;-3,49109E+16;3,72446E+15;2,10025E+16;4,91607E+13;2,34109E+16;baseline
5,52168E+15;5,62019E+16;5,32722E+16;29296875;9,55175E+15;-6,71286E+15;2,10005E+15;1,15955E+16;5,52171E+15;baseline
2,01724E+16;2,25792E+15;1,63078E+16;6,27136E+13;-2,81886E+16;-4,5958E+15;2,10028E+16;4,2362E+15;2,01782E+15;stress
5,31023E+15;5,41573E+16;5,07889E+15;3,36838E+15;1,37401E+16;-3,88239E+15;2,10008E+16;1,11515E+15;5,31025E+15;baseline
1,70139E+16;1,96457E+15;1,26801E+14;6,96564E+14;-8,77446E+15;4,49616E+16;2,10024E+16;3,57293E+16;1,70282E+16;stress
9,58741E+14;1,11137E+16;8,53844E+15;2,5753E+15;-6,63459E+15;1,83145E+15;2,10004E+16;2,01336E+15;9,60056E+15;stress
2,34934E+15;2,52647E+15;2,10419E+14;4,22287E+15;1,77934E+16;2,86708E+15;2,10025E+16;4,93361E+16;2,34941E+16;baseline
4,59215E+15;5,32341E+15;4,00696E+13;1,31645E+16;-5,15825E+15;-3,46894E+15;2,10014E+16;9,64351E+15;4,59824E+15;stress
1,8958E+16;2,08778E+16;1,63383E+16;4,53949E+14;-1,22048E+15;4,51695E+16;2,10017E+16;3,98117E+16;1,89652E+16;baseline
9,65701E+15;1,11305E+16;8,07838E+15;3,05214E+16;-1,41237E+16;-1,68757E+15;2,10002E+16;2,02797E+16;9,69127E+15;stress
1,16847E+16;1,20731E+16;1,13922E+14;6,80923E+15;-9,63001E+15;5,52789E+15;2,10003E+15;2,45378E+16;1,16855E+16;amusement
8,41956E+15;9,77249E+15;6,58989E+15;3,1826E+15;4,5333E+15;-1,24574E+16;2,10006E+16;1,76811E+14;8,44593E+15;amusement
1,29122E+15;1,45416E+14;9,12094E+15;5,42068E+15;4,71378E+15;1,26635E+16;2,1004E+16;2,71156E+15;1,29135E+16;baseline
4,01123E+15;4,33998E+16;3,70064E+15;6,39343E+13;-1,07606E+16;-3,76053E+14;2,10015E+16;8,42358E+15;4,01299E+14;stress
9,44281E+15;1,10855E+15;6,05011E+14;5,0354E+12;3,51363E+15;4,74199E+15;2,10038E+15;1,98299E+16;9,44456E+15;amusement
9,65408E+14;1,11198E+16;6,77109E+15;4,34875E+13;6,1043E+15;1,3577E+16;2,10032E+15;2,02736E+15;9,65523E+13;baseline
2,21452E+15;2,44408E+15;1,85738E+16;5,867E+14;-5,89168E+15;5,44949E+15;2,1002E+16;4,65049E+15;2,2152E+16;baseline
2,04488E+15;2,77557E+14;1,42632E+16;1,34926E+16;-9,98051E+15;4,15469E+14;2,10065E+15;4,29424E+15;2,06631E+14;baseline
7,55628E+15;7,72896E+16;7,33109E+15;3,97873E+15;-4,35689E+15;1,0655E+16;2,10002E+14;1,58682E+16;7,55643E+15;stress
1,17355E+14;1,21174E+16;1,13922E+14;7,25174E+15;-1,29512E+15;2,71997E+15;2,10003E+16;2,46445E+16;1,17366E+16;amusement
3,90035E+16;4,27856E+12;3,51982E+16;7,58743E+15;-9,60579E+15;-2,27673E+16;2,10015E+15;8,19073E+15;3,90226E+16;stress
1,64118E+16;2,36092E+16;1,10626E+14;1,25465E+16;-5,17676E+15;6,52753E+15;2,10078E+16;3,44649E+15;1,66189E+16;stress
8,73542E+15;1,06621E+16;7,6252E+15;3,03688E+16;-8,11681E+15;5,43306E+15;2,10002E+16;1,83444E+16;8,76797E+15;stress
1,3619E+16;1,57051E+16;1,00327E+15;5,67245E+15;1,03877E+16;3,84978E+16;2,10043E+15;2,86E+16;1,36222E+16;baseline
1,12413E+16;1,14201E+16;1,09879E+15;4,32205E+15;-1,08883E+16;3,15809E+16;2,10003E+16;2,36068E+16;1,12415E+15;baseline
1,84483E+15;2,10495E+15;1,42174E+16;6,83212E+15;-7,26732E+15;3,42824E+15;2,10032E+16;3,87415E+14;1,84665E+15;baseline
3,86977E+16;3,97301E+16;3,65295E+13;3,20053E+15;6,99927E+15;6,28369E+15;2,10014E+16;8,12652E+15;3,86981E+16;baseline
1,91101E+15;2,18391E+16;1,48506E+16;6,98853E+12;-1,02604E+16;4,25107E+15;2,10031E+16;4,01313E+15;1,91348E+16;baseline
2,03621E+15;2,17457E+16;1,95374E+13;2,20833E+16;-4,62566E+15;7,05681E+15;2,10015E+16;4,27604E+15;2,03687E+16;stress
8,35335E+15;9,7847E+15;6,15311E+15;3,63159E+12;8,31571E+15;8,16661E+15;2,10035E+16;1,7542E+16;8,35587E+15;baseline
4,53932E+15;5,50041E+15;3,42865E+14;2,07176E+15;-1,49722E+16;-3,04039E+16;2,10014E+16;9,53256E+15;4,57811E+15;stress
2,61087E+16;2,79579E+16;2,38152E+16;4,14276E+14;-1,10533E+16;-2,92504E+15;2,10013E+15;5,48282E+15;2,61145E+16;amusement
8,33252E+15;9,7847E+15;6,15311E+15;3,63159E+12;1,14008E+15;8,98127E+15;2,10035E+16;1,74983E+16;8,33484E+15;baseline
4,30673E+15;4,90761E+16;3,54996E+15;1,35765E+16;-9,47764E+15;-4,23888E+15;2,10016E+16;9,04413E+15;4,31914E+14;stress
9,33634E+15;1,1055E+15;6,05011E+14;50048828125;3,59037E+16;8,70377E+15;2,10044E+14;1,96063E+16;9,33809E+15;amusement
2,9963E+15;3,16963E+16;2,68364E+16;4,85992E+14;3,22312E+16;2,06989E+15;2,10019E+15;6,29222E+15;2,99636E+15;stress
6,57347E+15;7,02057E+14;6,1058E+15;9,14764E+14;-9,28959E+15;4,57066E+15;2,10004E+16;1,38043E+15;6,57556E+15;baseline
5,6667E+15;7,41005E+15;4,92287E+15;2,48718E+13;1,4386E+15;1,57568E+16;2,10011E+16;1,19001E+16;5,6884E+15;amusement
1,30505E+14;1,4698E+16;1,02463E+15;4,45175E+15;9,98086E+14;6,9924E+15;2,10035E+16;2,74061E+15;1,30527E+16;baseline
9,80515E+14;1,11237E+14;7,61795E+15;3,50571E+15;4,75004E+15;1,07388E+16;2,10033E+16;2,05908E+15;9,80614E+15;baseline
6,34559E+15;9,01413E+15;4,45175E+15;4,56238E+13;-1,00179E+15;2,81385E+16;2,10053E+15;1,33257E+16;6,37978E+14;amusement
3,85557E+15;4,04243E+16;3,57513E+14;4,673E+15;-7,80623E+15;4,07038E+16;2,10013E+16;8,09669E+14;3,85588E+16;baseline
1,34869E+16;1,57051E+16;1,08147E+16;4,89044E+14;-5,83798E+15;3,547E+15;2,10048E+15;2,83224E+15;1,34923E+16;baseline
1,61862E+15;2,29607E+16;1,08948E+13;1,20659E+16;-6,2031E+15;6,03117E+15;2,10079E+15;3,39911E+16;1,63753E+16;stress
5,98114E+16;6,16951E+16;5,6263E+16;5,43213E+11;8,97415E+15;5,75343E+15;2,10014E+15;1,25604E+15;5,98119E+16;baseline
1,84283E+16;2,10495E+15;1,42174E+16;6,83212E+15;-7,23648E+15;3,34364E+15;2,10032E+16;3,86995E+16;1,84464E+16;baseline
6,54849E+15;6,69746E+16;6,21223E+16;4,85229E+12;2,00864E+16;4,11583E+15;2,10006E+14;1,37518E+15;6,54852E+15;baseline
1,15044E+16;1,22028E+16;1,05789E+15;1,62392E+16;8,17695E+15;-8,12616E+15;2,10002E+16;2,41592E+16;1,15101E+16;stress
8,67508E+15;1,02615E+15;6,15311E+15;4,10843E+15;6,87259E+15;-6,53262E+15;2,1004E+16;1,82177E+15;8,67795E+15;baseline
1,19366E+15;1,4019E+16;8,71277E+13;5,30624E+15;-8,34005E+15;-6,85671E+15;2,10053E+16;2,50668E+16;1,19524E+16;baseline
5,99545E+15;6,22215E+16;5,6263E+16;5,95856E+14;4,24544E+14;9,68202E+15;2,10014E+15;1,25905E+16;5,99559E+15;baseline
4,82383E+16;5,50041E+15;4,36211E+15;1,13831E+13;-2,98375E+16;7,12731E+15;2,10014E+15;1,013E+16;4,82904E+15;stress
1,73253E+16;1,86848E+15;1,58867E+16;2,79808E+15;-1,27801E+16;2,10313E+16;2,10007E+15;3,63831E+15;1,7341E+16;stress
3,71235E+15;3,91769E+15;3,40271E+13;5,14984E+14;2,74895E+15;6,0808E+15;2,10016E+16;7,79594E+15;3,7124E+14;baseline
7,86339E+15;8,39882E+15;7,51839E+15;8,80432E+13;-3,36067E+15;1,22282E+16;2,10004E+15;1,65131E+16;7,86515E+15;amusement
3,99037E+16;4,3045E+14;3,51982E+16;7,84683E+15;-1,03904E+16;-1,79299E+16;2,10015E+16;8,37978E+15;3,99226E+15;stress
1,2371E+16;1,52092E+16;9,20868E+14;6,00052E+15;-1,10636E+16;-4,3529E+15;2,10033E+14;2,59792E+16;1,24408E+16;baseline
7,802E+14;9,05228E+15;4,89426E+15;4,15802E+14;5,72393E+15;1,14899E+15;2,10032E+16;1,63842E+16;7,80329E+15;baseline
1,32467E+16;1,614E+16;9,77707E+15;6,36292E+13;-1,25073E+15;1,37768E+15;2,1006E+16;2,78181E+16;1,32823E+16;baseline
7,01858E+15;7,42073E+15;6,62155E+15;7,99179E+15;-1,37385E+16;3,48908E+15;2,10006E+16;1,4739E+16;7,02017E+15;stress
1,31902E+16;1,50375E+15;1,0582E+15;4,45557E+11;2,61743E+16;9,77706E+15;2,10039E+15;2,76994E+16;1,31917E+16;baseline
2,61518E+15;2,79579E+16;2,38152E+16;4,14276E+14;-1,07471E+16;-3,05733E+15;2,10013E+15;5,49187E+15;2,61575E+15;amusement
2,83692E+15;2,99759E+15;2,65846E+16;3,39127E+15;3,10272E+16;-1,16761E+15;2,10023E+15;5,95753E+15;2,83709E+16;amusement
7,78486E+15;9,05228E+15;4,89426E+15;4,15802E+14;5,26365E+15;1,15319E+16;2,10031E+16;1,63482E+15;7,78616E+15;baseline
7,86232E+15;9,33075E+14;5,07355E+14;4,2572E+13;4,59784E+15;1,12667E+16;2,10036E+16;1,65109E+16;7,86367E+15;baseline
6,03767E+15;6,30531E+16;5,67093E+15;6,34384E+15;-5,19166E+15;8,64686E+15;2,10013E+16;1,26791E+15;6,0381E+15;baseline
6,79754E+14;7,15218E+16;6,31371E+16;8,3847E+14;-1,25809E+15;3,75166E+16;2,10007E+14;1,42748E+16;6,79913E+15;baseline
2,87287E+16;3,03345E+12;2,56538E+16;4,68063E+15;-9,69503E+15;-1,12661E+16;2,10016E+16;6,03302E+15;2,8731E+15;baseline
5,3511E+15;5,46455E+16;5,15823E+15;3,0632E+15;-1,00607E+16;3,40198E+16;2,10009E+16;1,12373E+16;5,35118E+15;baseline
3,12096E+16;3,51791E+15;2,67677E+16;8,41141E+15;-6,7542E+15;-1,05373E+16;2,1002E+15;6,55402E+15;3,1251E+16;stress
1,8157E+16;2,02522E+16;1,42174E+16;6,03485E+14;-9,3669E+14;1,28575E+16;2,10032E+16;3,81296E+16;1,81722E+16;baseline
9,32039E+15;1,1055E+15;6,05011E+14;50048828125;4,33137E+15;9,02488E+13;2,10044E+15;1,95728E+15;9,32204E+15;amusement
7,60666E+15;8,16231E+15;7,21054E+15;9,51767E+15;-3,26693E+15;6,44362E+15;2,10004E+16;1,5974E+16;7,60885E+15;stress
9,63829E+13;1,11198E+16;7,27844E+13;3,8414E+15;7,07963E+15;1,35235E+16;2,10033E+15;2,02404E+16;9,63919E+15;baseline
1,32058E+16;1,58653E+16;9,77707E+15;6,08826E+13;-1,25406E+15;1,54043E+16;2,10059E+16;2,77322E+14;1,3241E+16;baseline
4,78505E+16;5,50842E+13;4,36058E+16;1,14784E+16;1,04774E+16;5,02555E+14;2,10017E+15;1,00486E+16;4,78729E+15;stress
2,78276E+16;3,00369E+15;2,41051E+15;5,93185E+15;-1,67316E+16;1,91242E+15;2,10016E+16;5,8438E+15;2,78426E+16;amusement
6,17895E+16;6,37703E+16;5,91087E+16;4,66156E+14;-8,9861E+15;4,38201E+16;2,10005E+15;1,29758E+16;6,1793E+16;amusement
1,38893E+16;1,55525E+16;1,06621E+16;4,89044E+14;3,02538E+16;1,1258E+16;2,10058E+16;2,91676E+16;1,38908E+16;amusement
3,52514E+15;3,76282E+13;3,29437E+14;4,68445E+13;-4,47042E+15;4,21395E+15;2,10011E+15;7,40279E+15;3,52534E+16;stress
2,34659E+16;2,50893E+16;2,02675E+16;4,82178E+11;1,29349E+16;5,30825E+15;2,10025E+13;4,92785E+15;2,34668E+16;baseline
