MEAN;MAX;MIN;RANGE;KURT;SKEW;ALSC;INSC;RMSC;subject id;condition
1,81009E+15;1,97472E+15;1,6497E+16;3,25012E+13;-1,06744E+15;-6,08216E+15;2,10009E+16;3,80118E+15;1,8118E+16;7;stress
1,20532E+16;1,29726E+16;1,14891E+16;1,48354E+16;-7,65625E+15;5,86426E+15;2,10003E+15;2,53117E+16;1,20594E+16;7;baseline
7,47219E+15;7,78656E+14;7,04041E+13;7,46155E+13;-1,62024E+16;-2,40754E+15;2,10002E+15;1,56916E+16;7,47348E+16;17;stress
1,81512E+15;2,17628E+16;1,41182E+16;7,64465E+13;-1,2675E+16;3,51939E+15;2,10024E+16;3,81174E+15;1,82135E+16;10;stress
7,32419E+15;7,56493E+16;7,01256E+16;5,52368E+12;-1,63737E+15;-1,26741E+15;2,10002E+15;1,53808E+16;7,32515E+16;17;stress
3,79018E+16;3,90434E+15;3,56941E+16;3,3493E+14;-2,70117E+16;-3,66456E+14;2,10015E+16;7,95939E+15;3,79023E+13;8;baseline
4,65286E+15;5,50842E+13;3,86543E+15;1,64299E+16;-3,29734E+15;-7,33595E+15;2,1002E+16;9,77101E+15;4,66313E+15;4;stress
1,16586E+15;1,38664E+16;9,13239E+14;4,73404E+15;-4,79685E+14;1,27632E+16;2,10041E+16;2,44831E+16;1,16672E+16;2;baseline
6,00115E+15;6,17561E+16;5,6263E+16;54931640625;-4,38629E+16;-1,72192E+16;2,10013E+15;1,26024E+15;6,00124E+15;11;baseline
1,62956E+16;1,8158E+13;1,35307E+16;4,62723E+15;-1,25982E+16;1,31418E+15;2,10013E+16;3,42207E+15;1,63062E+16;15;baseline
6,25561E+15;6,48994E+16;6,00929E+15;4,80652E+13;1,46548E+16;9,46247E+15;2,10004E+16;1,31368E+15;6,2557E+15;6;baseline
1,19927E+16;1,4019E+16;8,71277E+13;5,30624E+15;-6,19965E+15;-2,43216E+15;2,10055E+16;2,51847E+15;1,20077E+16;2;baseline
1,3147E+16;1,50299E+14;1,0582E+15;4,44794E+14;2,44534E+15;8,79063E+15;2,1004E+16;2,76086E+15;1,31486E+15;4;baseline
2,96539E+15;3,15437E+16;2,61078E+14;5,43594E+15;9,01874E+15;1,72644E+16;2,10015E+16;6,22732E+15;2,96547E+16;14;stress
1,94146E+16;2,04334E+16;1,81202E+16;2,31323E+12;-9,47744E+14;-5,06632E+15;2,10012E+16;4,07707E+15;1,94228E+15;7;stress
9,66039E+15;1,09558E+13;7,27844E+13;3,67737E+13;5,28809E+15;1,15022E+16;2,10035E+16;2,02868E+15;9,6614E+14;16;baseline
5,71996E+15;5,95093E+12;5,37567E+14;5,75256E+13;-4,34726E+15;-4,89918E+15;2,10005E+16;1,20119E+15;5,72034E+16;17;baseline
8,32904E+14;8,64487E+15;8,00056E+15;6,44302E+15;-4,26482E+14;6,77813E+15;2,10002E+15;1,7491E+15;8,32968E+15;6;amusement
3,53063E+15;3,76282E+13;3,29437E+14;4,68445E+13;-6,06767E+15;2,35421E+15;2,10011E+16;7,41432E+15;3,53083E+15;15;stress
1,26004E+14;1,41945E+16;9,30023E+14;4,89426E+15;5,26252E+15;1,37531E+16;2,10056E+15;2,64608E+15;1,26016E+16;4;baseline
4,92866E+15;5,50041E+15;4,19502E+16;1,30539E+15;1,24986E+15;-6,29575E+15;2,10014E+15;1,03502E+15;4,93459E+16;16;stress
1,17553E+16;1,2067E+16;1,14353E+16;6,31714E+12;-1,37935E+16;-3,66093E+16;2,10003E+16;2,46862E+15;1,17563E+16;7;amusement
3,76665E+15;4,61617E+16;2,89803E+16;1,71814E+13;-1,35164E+16;-2,211E+16;2,10019E+16;7,90996E+15;3,79613E+16;16;stress
2,80658E+15;3,00941E+16;2,46696E+16;5,4245E+14;4,82532E+15;1,55291E+14;2,10015E+16;5,89382E+15;2,80666E+16;14;baseline
7,24644E+15;8,22639E+15;6,71005E+15;1,51634E+16;-5,46297E+14;7,85859E+15;2,10006E+16;1,52175E+16;7,25558E+15;3;baseline
4,1547E+15;4,74243E+12;3,63388E+15;1,10855E+15;-1,00706E+16;4,82664E+15;2,10024E+14;8,72487E+15;4,16117E+15;5;baseline
9,48121E+14;1,11137E+16;8,53844E+15;2,5753E+15;-4,18622E+15;6,1463E+15;2,10004E+16;1,99105E+15;9,49404E+15;5;stress
3,89254E+15;6,02913E+16;3,40271E+13;2,62642E+16;8,07227E+15;2,89057E+15;2,10017E+15;8,17434E+15;3,91745E+16;5;baseline
3,85866E+16;4,16031E+15;3,51982E+16;6,40488E+15;-1,1528E+15;-1,87074E+14;2,10015E+16;8,10319E+15;3,86064E+15;13;stress
3,46823E+16;3,94249E+16;3,02467E+16;9,17816E+14;-9,42433E+14;-2,27586E+16;2,10014E+16;7,28329E+15;3,47223E+16;9;stress
3,83921E+15;4,21867E+15;3,5141E+14;7,04575E+15;-7,04539E+15;6,78822E+14;2,1002E+15;8,06234E+15;3,84048E+16;5;baseline
7,30865E+15;8,37593E+15;6,71005E+15;1,66588E+16;-4,85704E+15;8,16889E+15;2,10005E+15;1,53482E+16;7,31974E+15;3;baseline
6,29678E+15;6,52008E+14;6,00929E+15;5,10788E+15;-7,06365E+15;7,01623E+15;2,10004E+16;1,32232E+16;6,29716E+15;6;baseline
2,35313E+16;2,52647E+15;2,10419E+14;4,22287E+15;1,48758E+16;6,31896E+15;2,10026E+16;4,94158E+15;2,3532E+16;13;baseline
5,73445E+16;5,95093E+12;5,37567E+14;5,75256E+13;3,4814E+15;-5,61365E+15;2,10006E+15;1,20423E+16;5,7347E+15;17;baseline
8,28022E+15;8,51173E+15;7,91473E+14;5,97E+15;-6,63495E+15;4,60073E+15;2,10002E+16;1,73885E+16;8,28045E+15;6;amusement
9,67055E+15;1,09367E+16;7,2937E+12;3,64304E+15;4,56949E+15;1,11065E+16;2,10036E+16;2,03082E+16;9,67158E+15;16;baseline
3,7393E+16;4,24194E+12;3,33633E+15;9,05609E+14;-3,15918E+15;4,39801E+15;2,10012E+16;7,85253E+15;3,74256E+15;9;stress
3,46194E+16;3,87001E+16;2,93427E+14;9,35745E+15;1,51929E+15;-1,38367E+15;2,10015E+15;7,27007E+15;3,46603E+16;9;amusement
8,50155E+13;1,01852E+15;6,15311E+15;4,03214E+15;-8,6498E+15;3,49593E+15;2,10038E+15;1,78533E+15;8,50498E+15;10;baseline
6,88415E+15;7,31773E+15;6,36482E+16;9,52911E+14;-1,17446E+16;2,3844E+16;2,10007E+15;1,44567E+16;6,88631E+15;3;baseline
2,98907E+16;3,20625E+16;2,64702E+16;5,59235E+14;-1,69089E+16;8,75914E+15;2,10018E+15;6,27704E+15;2,98935E+15;14;amusement
9,38584E+15;1,10466E+16;8,53844E+15;2,50816E+15;5,49592E+15;7,24301E+15;2,10004E+16;1,97103E+16;9,39407E+15;5;stress
2,94466E+16;3,1353E+16;2,73209E+15;4,03214E+15;1,98979E+15;7,31804E+15;2,10017E+15;6,18378E+15;2,94472E+16;14;stress
1,19833E+16;1,41068E+15;9,13239E+14;4,97437E+12;-5,24286E+15;5,97883E+15;2,10045E+16;2,5165E+15;1,19972E+16;2;baseline
9,99018E+15;1,29929E+15;6,77109E+15;6,22177E+15;3,19199E+13;1,78912E+16;2,1003E+16;2,09794E+15;1,00059E+16;16;baseline
5,28992E+15;7,9071E+13;3,4565E+16;4,45061E+15;-1,78788E+16;2,4814E+16;2,10012E+15;1,11088E+16;5,52388E+15;5;baseline
3,01166E+16;3,26157E+15;2,64702E+16;6,14548E+15;-8,44641E+15;5,58458E+15;2,10018E+16;6,32449E+15;3,01215E+15;14;amusement
2,95497E+13;3,19443E+15;2,73209E+15;4,62341E+13;9,93356E+15;1,37996E+16;2,10018E+15;6,20543E+15;2,95521E+16;14;stress
3,79016E+15;3,90434E+15;3,56941E+16;3,3493E+14;-2,6414E+16;-3,66699E+15;2,10015E+15;7,95934E+15;3,79021E+15;8;baseline
4,02869E+15;4,54597E+16;3,63388E+15;9,12094E+15;-7,86149E+15;5,26165E+15;2,10023E+16;8,46025E+14;4,03284E+15;5;baseline
7,29817E+15;8,16689E+15;6,71768E+15;1,4492E+16;2,29831E+15;6,54782E+15;2,10006E+16;1,53262E+16;7,30146E+15;11;stress
2,95742E+14;3,15437E+16;2,61078E+14;5,43594E+15;4,32866E+15;9,96702E+14;2,10015E+15;6,21058E+15;2,95754E+16;14;stress
1,36315E+16;1,57051E+16;1,00327E+15;5,67245E+15;1,2341E+16;5,80908E+15;2,10043E+16;2,86262E+15;1,36344E+15;4;baseline
3,85381E+15;3,97301E+16;3,63808E+16;3,3493E+14;-3,30417E+15;-3,64603E+15;2,10015E+16;8,093E+15;3,85391E+16;8;baseline
1,26393E+15;1,52092E+16;8,70895E+15;6,50024E+12;-1,08102E+16;-3,64857E+15;2,10036E+16;2,65426E+15;1,26753E+16;16;baseline
8,13608E+15;9,62067E+14;5,15747E+12;4,4632E+14;4,47829E+15;1,11344E+16;2,10034E+16;1,70858E+16;8,13738E+15;10;baseline
1,75569E+16;2,02293E+15;1,26801E+14;7,54929E+15;-1,57715E+16;9,78647E+14;2,10023E+16;3,68696E+13;1,75937E+16;10;stress
1,65632E+16;1,79138E+13;1,34468E+16;4,46701E+15;1,9791E+16;6,79978E+15;2,10024E+16;3,47826E+16;1,65641E+15;9;baseline
6,04604E+15;6,23817E+16;5,82352E+15;4,14658E+15;8,84428E+14;6,4224E+15;2,10013E+16;1,26967E+15;6,0461E+14;11;baseline
4,45109E+15;5,50842E+13;3,52516E+16;1,98326E+16;-1,27763E+16;-3,26572E+15;2,10022E+13;9,34729E+15;4,47416E+15;4;stress
1,1187E+16;1,13277E+16;1,09829E+16;3,44849E+12;-1,99361E+16;3,33503E+15;2,10003E+14;2,34926E+15;1,1187E+16;7;baseline
6,28524E+15;6,49567E+14;6,00929E+15;4,86374E+15;-2,94062E+15;8,55988E+15;2,10004E+14;1,3199E+16;6,28555E+15;6;baseline
1,8439E+16;2,18658E+14;1,41182E+16;7,74765E+15;-1,43682E+16;1,63246E+16;2,10025E+16;3,87218E+16;1,8502E+16;10;stress
4,54508E+15;5,50041E+15;3,42865E+14;2,07176E+15;-1,48796E+16;-3,13225E+16;2,10014E+16;9,54467E+15;4,58374E+15;16;stress
1,03843E+16;1,11305E+16;9,42459E+15;1,70593E+13;-1,81428E+15;-6,22349E+15;2,10002E+14;2,18071E+15;1,03899E+16;6;stress
1,65691E+16;1,76888E+16;1,32027E+16;4,48608E+12;3,03367E+16;6,46178E+15;2,10026E+16;3,47951E+16;1,657E+15;9;baseline
2,94238E+16;3,1353E+16;2,73209E+15;4,03214E+15;3,73508E+15;6,46161E+15;2,10018E+16;6,17899E+15;2,94243E+16;14;stress
1,90332E+16;2,09694E+16;1,67351E+16;4,23431E+14;-1,3864E+16;-4,10491E+15;2,10022E+15;3,99697E+15;1,90409E+16;10;stress
1,28789E+16;1,45416E+14;9,12094E+15;5,42068E+15;5,89351E+16;1,37352E+15;2,10042E+16;2,70457E+16;1,28801E+16;4;baseline
2,35064E+16;2,52647E+15;2,10419E+14;4,22287E+15;1,30059E+16;2,37414E+16;2,10026E+15;4,93634E+15;2,35071E+15;13;baseline
1,1419E+16;1,17428E+16;1,11683E+16;5,74493E+14;-1,18769E+16;4,21745E+15;2,10002E+16;2,39799E+16;1,14197E+16;7;baseline
6,89551E+15;9,77249E+15;4,92287E+15;4,84962E+15;-1,46206E+16;3,0484E+15;2,10009E+16;1,44806E+15;7,05048E+15;5;amusement
2,3523E+16;2,52647E+15;2,10419E+14;4,22287E+15;9,83086E+15;1,8252E+16;2,10024E+15;4,93983E+15;2,35238E+15;13;baseline
1,88051E+16;2,07329E+16;1,63383E+16;439453125;-1,15177E+15;6,64383E+15;2,10016E+16;3,94907E+15;1,88125E+15;15;baseline
6,04479E+15;6,23817E+16;5,82352E+15;4,14658E+15;1,17766E+16;6,58007E+15;2,10013E+16;1,26941E+16;6,04485E+15;11;baseline
6,55553E+15;6,69746E+16;6,24084E+13;4,56619E+15;1,51304E+16;1,48665E+16;2,10006E+16;1,37666E+16;6,55555E+15;3;baseline
1,26569E+15;1,42632E+16;9,30023E+14;4,96292E+15;3,26256E+16;1,05258E+16;2,10059E+15;2,65794E+16;1,26584E+16;4;baseline
3,86456E+14;4,04243E+16;3,58543E+15;4,57001E+14;-3,13844E+15;4,79819E+15;2,10013E+16;8,11558E+15;3,86479E+16;8;baseline
7,95831E+15;9,33075E+14;5,8136E+13;3,51715E+14;3,27442E+16;9,21992E+15;2,10033E+16;1,67125E+16;7,95985E+15;10;baseline
2,21012E+15;3,19786E+15;1,29471E+15;1,90315E+16;-1,45886E+16;2,88759E+15;2,1006E+15;4,64125E+16;2,26887E+16;2;stress
6,73147E+16;7,09648E+15;6,31371E+16;7,82776E+13;-8,30348E+15;4,60631E+15;2,10007E+16;1,41361E+15;6,73284E+16;3;baseline
2,57095E+15;2,76794E+13;2,37198E+15;3,95966E+14;-1,1892E+15;-4,34668E+13;2,10014E+15;5,399E+15;2,57174E+16;15;amusement
8,27632E+14;8,51173E+15;7,91473E+14;5,97E+15;-5,48423E+15;4,17774E+15;2,10002E+15;1,73803E+15;8,27652E+15;6;amusement
6,51616E+16;6,90842E+15;6,1058E+15;8,02612E+12;-8,24836E+15;3,8716E+15;2,10004E+15;1,36839E+16;6,51787E+15;6;baseline
6,54983E+15;6,72264E+16;6,21223E+16;5,10406E+14;2,87105E+15;1,03663E+16;2,10007E+14;1,37546E+16;6,54987E+15;3;baseline
3,81206E+16;3,95126E+15;3,57094E+16;3,80325E+15;-8,41594E+15;2,96037E+15;2,10009E+15;8,00532E+13;3,8122E+15;8;stress
2,42409E+15;2,59819E+16;2,0916E+16;5,06592E+11;-8,03052E+15;-1,85346E+15;2,10024E+16;5,0906E+15;2,4243E+15;13;baseline
3,92001E+15;4,29802E+15;3,57094E+16;7,27081E+14;1,26165E+16;1,01796E+16;2,1001E+16;8,23201E+15;3,92138E+16;8;stress
8,68803E+15;1,14784E+16;0;1,14784E+16;6,0218E+15;1,60231E+16;2,10016E+16;1,82449E+15;8,72282E+13;3;stress
8,26595E+15;8,51173E+15;7,91473E+14;5,97E+15;-1,13829E+16;8,06902E+15;2,10002E+13;1,73585E+16;8,26614E+15;6;amusement
6,82406E+15;9,63974E+15;4,52805E+15;5,11169E+13;-1,24542E+16;1,59598E+15;2,10078E+16;1,43305E+15;6,89427E+15;2;amusement
1,17075E+16;1,22547E+16;1,13129E+14;9,41849E+15;-9,02992E+15;5,33582E+15;2,10002E+16;2,45858E+15;1,17098E+16;7;baseline
5,9912E+15;6,20079E+16;5,6263E+16;5,74493E+14;4,54084E+15;9,01647E+15;2,10014E+16;1,25815E+14;5,99131E+15;11;baseline
6,87804E+15;7,31773E+15;6,36482E+16;9,52911E+14;-1,21148E+16;2,28679E+15;2,10007E+15;1,44439E+15;6,88015E+15;3;baseline
3,04779E+16;3,26157E+15;2,79503E+15;4,66537E+15;2,61483E+16;7,58392E+15;2,10013E+16;6,40036E+15;3,04796E+16;14;amusement
1,26621E+16;1,52092E+16;8,70895E+15;6,50024E+12;-1,2944E+16;1,22981E+16;2,10036E+15;2,65903E+16;1,2695E+16;16;baseline
6,06599E+15;6,2664E+15;5,83305E+15;4,3335E+11;-8,41502E+15;2,85691E+15;2,10013E+16;1,27386E+16;6,06612E+15;11;baseline
5,53825E+15;5,80788E+15;5,33791E+15;4,69971E+11;1,43638E+15;3,47737E+16;2,10004E+16;1,16303E+16;5,53836E+15;17;baseline
2,07024E+16;2,2419E+16;1,71967E+14;5,22232E+15;-1,11723E+16;-2,82403E+15;2,10019E+16;4,3475E+15;2,07094E+16;15;baseline
1,1489E+16;1,22177E+15;1,09997E+16;1,21803E+16;-1,27311E+16;6,74663E+15;2,10003E+16;2,4127E+16;1,14947E+16;7;baseline
3,91194E+16;4,24194E+12;3,4481E+15;7,93839E+15;-9,71075E+15;-2,08979E+16;2,10012E+16;8,21507E+15;3,91367E+16;9;stress
8,5582E+15;1,01852E+15;6,15311E+15;4,03214E+15;-6,61919E+15;1,85538E+15;2,10039E+16;1,79722E+16;8,56159E+15;10;baseline
2,80494E+15;2,9892E+14;2,46696E+16;5,22232E+15;8,24537E+15;8,1472E+15;2,10014E+15;5,89038E+15;2,80498E+16;14;baseline
6,26251E+15;6,48994E+16;6,00929E+15;4,80652E+13;5,56558E+15;8,63894E+15;2,10004E+16;1,31513E+16;6,26264E+15;6;baseline
1,22019E+16;1,47591E+16;9,13239E+14;5,62668E+15;-7,316E+15;5,70197E+15;2,10049E+16;2,5624E+15;1,22204E+16;2;baseline
1,87224E+16;2,01038E+16;1,73668E+16;2,73705E+15;-1,32662E+16;-2,30685E+16;2,10011E+15;3,9317E+15;1,87365E+15;7;stress
3,64618E+16;3,8372E+15;3,38783E+16;4,49371E+14;2,51447E+15;-8,15357E+15;2,10013E+15;7,65698E+15;3,64661E+16;15;stress
3,33895E+16;3,8269E+12;2,88391E+13;9,42993E+12;-1,66766E+15;-2,61461E+15;2,10014E+16;7,0118E+15;3,34898E+16;9;amusement
6,32849E+15;6,52351E+16;5,97839E+13;5,4512E+15;1,21139E+16;8,9464E+15;2,10011E+16;1,32898E+16;6,32856E+15;11;amusement
4,0728E+16;4,62837E+16;3,73192E+16;8,96454E+14;-6,63609E+15;1,07412E+16;2,1001E+15;8,55289E+15;4,07772E+16;8;stress
4,68637E+15;6,04782E+15;39306640625;2,11716E+15;-6,68716E+15;6,72976E+15;2,10022E+15;9,84138E+15;4,71254E+15;5;baseline
8,6324E+15;1,09509E+16;0;1,09509E+16;8,65124E+15;-3,91957E+15;2,10016E+13;1,8128E+15;8,65985E+15;3;stress
1,81033E+16;2,01721E+13;1,42174E+16;5,95474E+15;-9,77996E+15;9,87323E+14;2,10032E+16;3,8017E+15;1,81182E+15;9;baseline
3,65011E+15;3,8372E+15;3,38783E+16;4,49371E+14;4,77196E+15;-8,24929E+15;2,10013E+16;7,66523E+15;3,65052E+15;15;stress
6,42088E+16;7,50618E+15;5,99709E+15;1,50909E+14;1,06164E+16;1,63383E+16;2,10003E+16;1,34839E+15;6,43217E+15;6;baseline
2,81513E+15;3,00941E+16;2,55699E+15;4,52423E+14;2,78553E+16;9,81117E+15;2,10016E+16;5,91176E+15;2,8152E+15;14;baseline
6,56705E+15;6,77948E+14;6,21223E+16;5,67245E+15;2,1544E+16;1,03435E+16;2,10007E+16;1,37908E+16;6,56719E+15;3;baseline
3,21668E+16;3,76053E+15;2,88391E+13;8,76617E+14;-1,07215E+15;7,90736E+15;2,10013E+16;6,75502E+15;3,22527E+15;9;amusement
